#NAME,D16B1,D16B2,D16B3,D16B4,D16B5,D16C1,D16C2,D16C3,D16C4,D16C5,D16T1,D16T2,D16T3,D16T4,D23B1,D23B2,D23B3,D23B4,D23B5,D23C1,D23C2,D23C3,D23C4,D23C5,D23T1,D23T2,D23T3,D23T4,D8B1,D8B2,D8B3,D8B4,D8B5,D8C1,D8C2,D8C3,D8C4,D8C5,D8T1,D8T2,D8T3,D8T4,F1D20B1,F1D20B2,F1D20B3,F1D20B4,F1D20B5,F1D20C1,F1D20C2,F1D20C3,F1D20C4,F1D20C5,F1D20T1,F1D20T2,F1D20T3,F1D20T4
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Roseburia",0,0,0,0,0,0,0,0,0,0,0,0,6,0,260,7,56,0,0,10,163,8,0,0,1,0,27,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,42,15,49,0,0,2,75,10,0,0,4,0,50,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Oscillibacter",1,0,0,0,0,0,0,0,0,0,112,3,2,3,0,0,16,0,0,0,0,1,0,0,200,3,54,25,0,0,9,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,256,7,2,40
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Peptoniphilaceae,g:Peptoniphilus",7,6,2,3,0,1,2,0,0,0,0,0,0,3,6,28,1,1,1,7,11,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,320,1,54,1,16,17,0,0,5,0,1,0,8
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_Incertae_Sedis_XI,g:Finegoldia",160,191,2,16,16,140,68,20,1,49,0,0,0,0,61,16,47,87,54,51,1,12,14,52,0,0,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23,197,131,350,130,138,64,73,29,141,0,1,1,9
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",10,0,1,1,6,204,315,49,249,3,25,26,9,3,6,2,3,0,0,0,10,2,1,0,15,5,2,5,11,3,6,0,1,2,2,9,4,4,12,12,2,0,0,0,0,0,2,2,11,6,1,4,16,3,3,5
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Acidaminococcaceae,g:Phascolarctobacterium",0,0,0,0,0,0,0,0,0,0,0,0,14,185,0,0,0,0,0,0,0,0,0,0,0,0,3,320,0,0,0,0,0,0,11,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,3,54
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",0,0,0,0,0,0,0,0,0,0,1,5,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,1,3,4,0,2,0,5,10,4,2,11,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Veillonellaceae,g:Allisonella",229,22,607,59,68,104,111,118,44,274,83,22,3,1,19,0,30,23,0,6,12,0,28,14,21,0,9,0,84,35,302,62,16,22,83,58,57,262,39,10,7,8,0,3,48,40,4,10,5,0,7,13,40,3,5,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",0,0,0,0,0,0,0,0,13,0,0,2,13,58,1,89,0,6,0,0,0,6,22,0,0,3,26,199,4,0,2,1,0,0,0,0,7,2,0,4,11,23,0,85,0,0,0,0,0,8,33,0,2,3,10,86
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",322,24,171,99,327,806,2149,1666,676,381,0,0,3,7,28,0,191,50,13,105,14,11,82,66,1,0,5,1,3,42,110,13,27,225,4,2,56,126,6,6,19,98,10,21,272,164,246,310,20,6,92,55,0,0,2,9
